time,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track
2021-01-09 07:25:20Z.146,0x8a030b,SJY182,0,0,P,0,3327,1,67
2021-01-09 07:25:22Z.646,0x8a030b,SJY182,0,0,P,0,3327,1,67
2021-01-09 07:25:25Z.120,0x8a030b,SJY182,0,0,P,0,3327,1,67
2021-01-09 07:25:28Z.632,0x8a030b,SJY182,0,0,P,0,3327,2,70
2021-01-09 07:25:31Z.106,0x8a030b,SJY182,0,0,P,0,3327,2,70
2021-01-09 07:25:32Z.574,0x8a030b,SJY182,-6.11168,106.66712,P,0,3327,3,67
2021-01-09 07:25:34Z.156,0x8a030b,SJY182,0,0,P,0,3327,3,67
2021-01-09 07:25:38Z.116,0x8a030b,SJY182,0,0,P,0,3327,3,67
2021-01-09 07:25:39Z.114,0x8a030b,SJY182,-6.11166,106.6672,P,0,3327,3,70
2021-01-09 07:25:40Z.690,0x8a030b,SJY182,-6.11165,106.66721,P,0,3327,3,67
2021-01-09 07:25:41Z.190,0x8a030b,SJY182,-6.11164,106.66721,P,0,3327,3,70
2021-01-09 07:25:43Z.158,0x8a030b,SJY182,0,0,P,0,3327,3,67
2021-01-09 07:25:43Z.926,0x8a030b,,-6.11163,106.66725,P,0,0,3,70
2021-01-09 07:25:45Z.890,0x8a030b,,-6.11163,106.66726,P,0,0,3,70
2021-01-09 07:25:46Z.730,0x8a030b,SJY182,0,0,P,0,3327,3,70
2021-01-09 07:25:47Z.766,0x8a030b,,-6.11161,106.66727,P,0,0,3,67
2021-01-09 07:25:49Z.732,0x8a030b,SJY182,-6.1116,106.6673,P,0,3327,3,70
2021-01-09 07:25:49Z.822,0x8a030b,,-6.1116,106.6673,P,0,3327,3,70
2021-01-09 07:25:50Z.894,0x8a030b,,-6.1116,106.66731,P,0,3327,3,70
2021-01-09 07:25:52Z.226,0x8a030b,SJY182,0,0,P,0,3327,3,67
2021-01-09 07:25:53Z.880,0x8a030b,,-6.1116,106.66734,P,0,3327,3,67
2021-01-09 07:25:54Z.386,0x8a030b,,0,0,P,0,3327,3,67
2021-01-09 07:25:56Z.192,0x8a030b,SJY182,0,0,P,0,3327,3,67
2021-01-09 07:25:56Z.752,0x8a030b,SJY182,-6.11157,106.66739,P,0,3327,3,67
2021-01-09 07:25:58Z.090,0x8a030b,,-6.11156,106.66741,P,0,3327,4,67
2021-01-09 07:25:58Z.232,0x8a030b,SJY182,0,0,P,0,3327,4,67
2021-01-09 07:26:02Z.186,0x8a030b,SJY182,0,0,P,0,3327,4,67
2021-01-09 07:26:04Z.200,0x8a030b,SJY182,0,0,P,0,3327,4,67
2021-01-09 07:26:05Z.230,0x8a030b,SJY182,-6.11152,106.66754,P,0,3327,4,67
2021-01-09 07:26:08Z.250,0x8a030b,SJY182,-6.11151,106.66755,P,0,3327,3,67
2021-01-09 07:26:10Z.340,0x8a030b,SJY182,0,0,P,0,3327,1,70
2021-01-09 07:26:14Z.330,0x8a030b,SJY182,0,0,P,0,3327,1,81
2021-01-09 07:27:28Z.036,0x8a030b,SJY182,-6.1139,106.66862,P,0,3327,3,67
2021-01-09 07:27:28Z.476,0x8a030b,SJY182,-6.1139,106.66862,P,0,3327,3,67
2021-01-09 07:27:30Z.036,0x8a030b,SJY182,-6.1139,106.66862,P,0,3327,3,67
2021-01-09 07:27:30Z.476,0x8a030b,SJY182,-6.1139,106.66862,P,0,3327,3,67
2021-01-09 07:27:32Z.426,0x8a030b,SJY182,-6.1139,106.66862,P,0,3327,3,67
2021-01-09 07:27:32Z.548,0x8a030b,SJY182,0,0,P,0,3327,3,67
2021-01-09 07:27:34Z.412,0x8a030b,SJY182,-6.1139,106.66862,P,0,3327,3,67
2021-01-09 07:27:34Z.552,0x8a030b,SJY182,-6.1139,106.66862,P,0,3327,3,67
2021-01-09 07:27:36Z.138,0x8a030b,SJY182,-6.1139,106.66862,P,0,3327,3,67
2021-01-09 07:27:37Z.652,0x8a030b,SJY182,-6.11408,106.66879,P,0,3327,3,67
2021-01-09 07:27:38Z.776,0x8a030b,SJY182,-6.11408,106.66879,P,0,3327,3,67
2021-01-09 07:27:40Z.428,0x8a030b,SJY182,-6.11408,106.66879,P,0,3327,3,67
